                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1686,                 1.4004,                 1.2025,                0.65614,                0.56449,                0.62176,                 0.4605,                 1.0806,                 1.0897,                 1.1245,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1894,                 1.4062,                 1.2447,                0.65819,                0.57535,                0.64582,                0.47699,                 1.0598,                 1.0561,                 1.1157,               0.086005,               0.001005,               0.001005
                      2,                 1.1486,                 1.3145,                 1.2409,                0.69493,                0.58208,                0.66408,                0.49286,                 1.0601,                 1.0266,                 1.1108,               0.077782,               0.000782,               0.000782
